Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Bakersfield MSA,2014-2024,352014,"Cooks, Restaurant",930,12.24,25453.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,132011,Accountants and Auditors,860,30.22,62854.00,Bachelor's degree,None,None
Metropolitan Area,Bakersfield MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,840,20.11,41819.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Bakersfield MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",840,17.17,35715.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,760,14.50,30164.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,311014,Nursing Assistants,740,12.18,25320.00,Postsecondary non-degree award,None,None
Metropolitan Area,Bakersfield MSA,2014-2024,434051,Customer Service Representatives,730,15.40,32031.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,434171,Receptionists and Information Clerks,710,12.60,26198.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,514121,"Welders, Cutters, Solderers, and Brazers",710,26.77,55702.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,537051,Industrial Truck and Tractor Operators,710,12.27,25509.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,700,24.84,51648.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Bakersfield MSA,2014-2024,333051,Police and Sheriff's Patrol Officers,680,33.62,69934.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",660,27.82,57872.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,650,14.63,30429.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,412021,Counter and Rental Clerks,640,11.49,23907.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,620,25.70,53443.00,Postsecondary non-degree award,None,None
Metropolitan Area,Bakersfield MSA,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",620,9.57,19885.00,No formal educational credential,None,None
Metropolitan Area,Bakersfield MSA,2014-2024,372012,Maids and Housekeeping Cleaners,620,9.62,19987.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,499041,Industrial Machinery Mechanics,620,28.93,60185.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,610,9.61,19977.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,352011,"Cooks, Fast Food",590,9.69,20150.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,537061,Cleaners of Vehicles and Equipment,590,10.10,20986.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,319092,Medical Assistants,570,14.53,30225.00,Postsecondary non-degree award,None,None
Metropolitan Area,Bakersfield MSA,2014-2024,359021,Dishwashers,570,9.51,19783.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,399021,Personal Care Aides,1800,10.37,21578.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",1540,9.62,19997.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,412031,Retail Salespersons,1160,11.94,24827.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,291141,Registered Nurses,940,35.75,74372.00,Bachelor's degree,None,None
County,Butte County,2014-2024,353031,Waiters and Waitresses,930,9.79,20354.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,412011,Cashiers,880,11.16,23209.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,439061,"Office Clerks, General",650,13.92,28961.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Butte County,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",620,,,High school diploma or equivalent,≥5 years,None
County,Butte County,2014-2024,435081,Stock Clerks and Order Fillers,530,10.85,22575.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,111021,General and Operations Managers,520,36.87,76690.00,Bachelor's degree,≥5 years,None
County,Butte County,2014-2024,259041,Teacher Assistants,450,,28223.00,"Some college, no degree",None,None
County,Butte County,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",450,12.25,25473.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,399011,Childcare Workers,440,11.04,22975.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Butte County,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",380,9.95,20704.00,No formal educational credential,None,Short-term on-the-job training
County,Stanislaus County,2014-2024,311014,Nursing Assistants,1050,13.52,28124.00,Postsecondary non-degree award,None,None
County,Butte County,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",380,13.11,27261.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",370,,71187.00,Bachelor's degree,None,Internship/Residency
County,Butte County,2014-2024,352014,"Cooks, Restaurant",340,11.05,22985.00,No formal educational credential,<5 years,Moderate-term on-the-job training
County,Butte County,2014-2024,353011,Bartenders,330,10.77,22393.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,499071,"Maintenance and Repair Workers, General",320,15.19,31594.00,High school diploma or equivalent,None,Long-term on-the-job training
County,Butte County,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,310,14.28,29695.00,High school diploma or equivalent,<5 years,None
County,Butte County,2014-2024,434051,Customer Service Representatives,310,16.33,33985.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Butte County,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",270,9.64,20038.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,211093,Social and Human Service Assistants,260,16.94,35233.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Butte County,2014-2024,319092,Medical Assistants,260,14.86,30908.00,Postsecondary non-degree award,None,None
County,Butte County,2014-2024,372012,Maids and Housekeeping Cleaners,260,9.78,20344.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",260,16.85,35050.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Butte County,2014-2024,132011,Accountants and Auditors,250,26.31,54718.00,Bachelor's degree,None,None
County,Butte County,2014-2024,472061,Construction Laborers,250,18.40,38267.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,240,24.22,50359.00,Postsecondary non-degree award,None,None
County,Butte County,2014-2024,311011,Home Health Aides,240,9.64,20038.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",240,9.55,19864.00,No formal educational credential,None,None
County,Butte County,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,240,17.53,36452.00,High school diploma or equivalent,<5 years,None
County,Butte County,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,230,23.27,48394.00,High school diploma or equivalent,<5 years,None
County,Butte County,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,220,9.61,19987.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,373011,Landscaping and Groundskeeping Workers,220,11.67,24260.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,533033,Light Truck or Delivery Services Drivers,220,12.59,26202.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Butte County,2014-2024,352011,"Cooks, Fast Food",210,9.63,20017.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,413021,Insurance Sales Agents,200,20.74,43154.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Butte County,2014-2024,434171,Receptionists and Information Clerks,200,12.53,26054.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Butte County,2014-2024,352021,Food Preparation Workers,190,9.75,20283.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,359021,Dishwashers,190,9.44,19640.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,436013,Medical Secretaries,160,16.46,34221.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Butte County,2014-2024,493023,Automotive Service Technicians and Mechanics,160,18.69,38866.00,Postsecondary non-degree award,None,Short-term on-the-job training
County,Butte County,2014-2024,537064,"Packers and Packagers, Hand",160,9.96,20731.00,No formal educational credential,None,Short-term on-the-job training
County,Butte County,2014-2024,333051,Police and Sheriff's Patrol Officers,150,36.72,76378.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Butte County,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",150,23.42,48713.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Butte County,2014-2024,119141,"Property, Real Estate, and Community Association Managers",130,21.03,43738.00,High school diploma or equivalent,<5 years,None
County,Butte County,2014-2024,319091,Dental Assistants,130,21.41,44552.00,Postsecondary non-degree award,None,None
State,California,2014-2024,399021,Personal Care Aides,230500,10.68,22210.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",209600,9.69,20140.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,412031,Retail Salespersons,194700,11.31,23523.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,412011,Cashiers,192300,10.16,21127.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,353031,Waiters and Waitresses,184600,11.41,23729.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",133700,12.30,25570.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,111021,General and Operations Managers,110000,51.47,107073.00,Bachelor's degree,≥5 years,None
State,California,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",105100,9.62,20003.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,291141,Registered Nurses,104700,48.97,101855.00,Bachelor's degree,None,None
State,California,2014-2024,439061,"Office Clerks, General",103700,16.15,33586.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2014-2024,435081,Stock Clerks and Order Fillers,95100,11.77,24489.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,434051,Customer Service Representatives,79700,18.18,37823.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2014-2024,352014,"Cooks, Restaurant",77300,12.12,25218.00,No formal educational credential,<5 years,Moderate-term on-the-job training
State,California,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",69800,12.64,26299.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,132011,Accountants and Auditors,69700,35.94,74745.00,Bachelor's degree,None,None
State,California,2014-2024,151132,"Software Developers, Applications",68800,58.40,121475.00,Bachelor's degree,None,None
State,California,2014-2024,352021,Food Preparation Workers,62900,10.56,21975.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,53800,15.17,31561.00,High school diploma or equivalent,<5 years,None
State,California,2014-2024,472061,Construction Laborers,53100,18.46,38389.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,50300,27.98,58208.00,High school diploma or equivalent,<5 years,None
State,California,2014-2024,259041,Teacher Assistants,49500,,31064.00,"Some college, no degree",None,None
State,California,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,48600,9.69,20140.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,472031,Carpenters,47000,24.73,51430.00,High school diploma or equivalent,None,Apprenticeship
State,California,2014-2024,499071,"Maintenance and Repair Workers, General",46600,19.47,40484.00,High school diploma or equivalent,None,Long-term on-the-job training
State,California,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",46300,18.86,39235.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,45800,20.58,42797.00,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2014-2024,372012,Maids and Housekeeping Cleaners,45700,11.43,23770.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",45500,10.35,21516.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",45200,26.05,54182.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2014-2024,359021,Dishwashers,45000,9.73,20232.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,131111,Management Analysts,44400,41.18,85644.00,Bachelor's degree,<5 years,None
State,California,2014-2024,252021,"Elementary School Teachers, Except Special Education",44000,,73967.00,Bachelor's degree,None,Internship/Residency
State,California,2014-2024,339032,Security Guards,44000,12.05,25075.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",42500,9.67,20119.00,No formal educational credential,None,None
State,California,2014-2024,311014,Nursing Assistants,41700,14.29,29725.00,Postsecondary non-degree award,None,None
